name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,primary_emotion,emotion_confidence,happy_score,sad_score,energetic_score,relaxed_score,melancholic_score,triumphant_score,ethereal_score
Colour Spectrum - Live in Buenos Aires,117.76,2018-12-07,Live in Buenos Aires,False,45,0.763,0.253,0.454,0.892,0.378,-11.742,0.0362,85.508,4,0.133,sad,0.7627433333333333,0.23725666666666664,0.7627433333333333,0.32532666666666665,0.53583,0.6127433333333334,0.27731333333333336,0.6187
In My Place - Live in Buenos Aires,277.8,2018-12-07,Live in Buenos Aires,False,48,0.171,0.121,0.699,0.00104,0.965,-6.956,0.043,78.393,4,0.326,sad,0.5793725,0.4206275,0.5793725,0.44341,0.4697175,0.5487724999999999,0.440655,0.2106
Amor Argentina - Live in Buenos Aires,316.2,2018-12-07,Live in Buenos Aires,False,44,0.252,0.233,0.675,0.0181,0.854,-8.374,0.0501,134.173,4,0.317,energetic,0.6164433333333333,0.4545108333333334,0.5454891666666666,0.6164433333333333,0.3404675,0.5004891666666667,0.5204216666666668,0.2601
Something Just like This - Live in Buenos Aires,244.24,2018-12-07,Live in Buenos Aires,False,54,0.00072,0.426,0.859,0.000775,0.456,-5.866,0.0448,102.913,4,0.17,melancholic,0.6699391666666665,0.3954608333333334,0.6045391666666666,0.5895433333333333,0.2972175,0.6699391666666665,0.48312166666666667,0.10865999999999999
A Sky Full of Stars - Live in Buenos Aires,276.36,2018-12-07,Live in Buenos Aires,False,53,0.00255,0.415,0.808,0.000606,0.982,-6.596,0.0367,124.893,4,0.2,energetic,0.64031,0.4164775,0.5835224999999999,0.64031,0.27376749999999994,0.6183225,0.511355,0.11887499999999998
Up&Up - Live in Buenos Aires,525.706,2018-12-07,Live in Buenos Aires,False,48,0.0115,0.108,0.82,2.41e-05,0.659,-5.61,0.075,67.092,3,0.15,melancholic,0.70009,0.34191,0.6580900000000001,0.44864,0.40227,0.70009,0.39982,0.12975
End Credits - Live in Buenos Aires,123.24,2018-12-07,Live in Buenos Aires,False,43,0.000119,0.156,0.217,0.929,0.102,-18.429,0.0451,74.901,4,0.0936,sad,0.8663225,0.1336775,0.8663225,0.16752999999999998,0.6729675,0.7163225,0.149075,0.3162395
A Head Full of Dreams,294.44,2018-12-07,Love in Tokyo,False,14,0.0948,0.307,0.92,0.00308,0.4,-6.967,0.166,122.836,4,0.152,energetic,0.6846533333333333,0.41956333333333334,0.5804366666666666,0.6846533333333333,0.21331,0.6824366666666666,0.5335266666666667,0.141
Yellow - Live,294.2,2018-12-07,Love in Tokyo,False,16,8.92e-05,0.299,0.828,0.00295,0.931,-5.659,0.0461,90.993,4,0.23,melancholic,0.6345725,0.41222749999999997,0.5877724999999999,0.54031,0.3545175,0.6345725,0.474855,0.10564460000000002
The Scientist - Live,353.333,2018-12-07,Love in Tokyo,False,14,0.0479,0.389,0.634,0.0116,0.734,-8.391,0.0339,75.219,4,0.23,sad,0.6591175,0.34088250000000003,0.6591175,0.39073,0.49095249999999996,0.5895175,0.370965,0.18774999999999997
